location,total_sqft,bath,balcony,BHK,price
konanakunte,884.0,1.0,0.0,2.0,58.0
sarjapur  road,2720.0,5.0,2.0,3.0,210.0
raja rajeshwari nagar,1303.0,2.0,2.0,2.0,44.17
hebbal,1420.0,2.0,2.0,2.0,107.0
basavangudi,2600.0,4.0,3.0,4.0,260.0
other,1155.0,2.0,2.0,2.0,69.0
sarjapur  road,1350.0,2.0,2.0,2.0,102.0
other,1150.0,2.0,2.0,2.0,125.0
whitefield,4200.0,4.0,2.0,4.0,420.0
uttarahalli,1213.0,2.0,2.0,2.0,48.0
isro layout,1000.0,2.0,1.0,2.0,60.0
other,1274.0,2.0,1.0,2.0,81.0
dommasandra,674.0,1.0,1.0,2.0,19.9
munnekollal,1210.0,2.0,3.0,2.0,75.0
sahakara nagar,1200.0,2.0,2.0,3.0,75.0
kanakapura,1130.0,2.0,1.0,2.0,45.2
8th phase jp nagar,871.0,2.0,2.0,2.0,55.0
other,1250.0,2.0,2.0,2.0,65.0
electronic city,550.0,1.0,1.0,1.0,12.0
hennur,960.0,2.0,1.0,2.0,48.0
sarjapur  road,1323.0,2.0,2.0,2.0,74.0
banashankari stage vi,4800.0,4.0,3.0,4.0,190.0
hennur road,1297.0,2.0,1.0,2.0,49.9
bellandur,1088.0,2.0,2.0,2.0,48.0
thanisandra,662.0,1.0,0.0,1.0,45.0
kaggadasapura,1350.0,2.0,0.0,3.0,105.0
hosa road,1639.0,3.0,1.0,3.0,80.0
kodichikkanahalli,1190.0,2.0,2.0,3.0,57.0
jakkur,1100.0,2.0,2.0,2.0,52.0
other,1191.0,2.0,1.0,2.0,90.0
bellandur,1299.0,2.0,2.0,2.0,82.0
yelahanka,2710.0,3.0,1.0,3.0,251.0
begur road,2462.0,4.0,3.0,4.0,124.0
panathur,1140.0,2.0,1.0,2.0,51.2
uttarahalli,1123.0,2.0,1.0,2.0,48.0
kengeri satellite town,1200.0,2.0,1.0,2.0,65.0
begur,1419.0,2.0,2.0,3.0,59.0
hegde nagar,1718.0,3.0,2.0,3.0,119.0
bannerghatta,1200.0,2.0,2.0,2.0,73.2
kundalahalli,7000.0,4.0,3.0,4.0,550.0
kathriguppe,1335.0,2.0,3.0,3.0,73.43
chandapura,645.0,1.0,1.0,1.0,16.45
kanakpura road,2689.0,6.0,2.0,4.0,220.0
other,1200.0,2.0,1.0,2.0,75.0
sahakara nagar,1200.0,4.0,2.0,4.0,130.0
other,1670.0,3.0,3.0,3.0,91.86
dodda nekkundi,1390.0,2.0,2.0,2.0,60.0
other,3100.0,3.0,3.0,3.0,250.0
other,1430.0,3.0,1.0,3.0,78.65
electronic city,1128.0,2.0,1.0,2.0,65.58
hoskote,1069.0,2.0,2.0,3.0,38.0
whitefield,2830.0,5.0,3.0,4.0,190.0
devanahalli,1020.0,2.0,1.0,1.0,49.87
kadugodi,1762.0,3.0,3.0,3.0,110.0
marathahalli,1019.0,2.0,2.0,2.0,49.85
talaghattapura,2265.0,3.0,3.0,3.0,159.0
other,1150.0,2.0,1.0,2.0,74.0
kumaraswami layout,2450.0,3.0,2.0,4.0,110.0
kasavanhalli,1115.0,2.0,2.0,2.0,50.0
old madras road,1225.0,2.0,1.0,2.0,53.55
hormavu,860.0,2.0,0.0,2.0,56.0
chandapura,1107.0,2.0,1.0,3.0,43.0
whitefield,905.0,1.0,1.0,1.0,52.0
raja rajeshwari nagar,1140.0,2.0,2.0,2.0,38.65
hoodi,1837.0,3.0,3.0,3.0,142.0
uttarahalli,850.0,2.0,2.0,2.0,37.93
other,1230.0,2.0,2.0,2.0,70.0
other,1489.0,2.0,0.0,2.0,101.0
hebbal,3450.0,5.0,2.0,3.0,260.0
sarjapur,1404.0,2.0,0.0,3.0,53.35
varthur,1360.0,2.0,3.0,3.0,85.0
other,2511.0,3.0,3.0,3.0,205.0
ramagondanahalli,1251.0,2.0,1.0,2.0,47.0
hosa road,1680.0,3.0,1.0,3.0,101.0
whitefield,1836.0,3.0,2.0,3.0,125.0
thanisandra,1948.0,3.0,2.0,3.0,130.0
other,1022.0,2.0,2.0,2.0,52.0
talaghattapura,1100.0,2.0,0.0,2.0,50.0
other,1148.0,2.0,1.0,2.0,59.0
other,1200.0,1.0,0.0,2.0,70.0
amruthahalli,1100.0,2.0,1.0,2.0,45.0
bannerghatta,1776.0,3.0,2.0,3.0,150.0
other,600.0,1.0,0.0,1.0,20.0
kudlu gate,1850.0,3.0,2.0,3.0,110.0
other,1200.0,1.0,1.0,1.0,28.0
kadubeesanahalli,1140.0,2.0,1.0,2.0,78.0
frazer town,1420.0,2.0,0.0,2.0,120.0
kanakapura,2200.0,3.0,1.0,3.0,121.0
mahadevpura,1475.0,2.0,2.0,2.0,55.0
ombr layout,1165.0,2.0,2.0,2.0,88.5
other,1260.0,2.0,2.0,3.0,85.05
horamavu agara,950.0,2.0,3.0,2.0,39.0
other,532.0,1.0,1.0,1.0,22.49
electronics city phase 1,1170.0,2.0,1.0,2.0,62.0
yelahanka,3770.0,6.0,3.0,6.0,110.0
kengeri,2400.0,5.0,2.0,4.0,253.0
konanakunte,1200.0,4.0,0.0,4.0,125.0
kothanur,1142.0,2.0,2.0,2.0,56.0
chikkalasandra,1070.0,2.0,1.0,2.0,42.8
banjara layout,1200.0,4.0,1.0,4.0,105.0
sonnenahalli,614.5,1.0,0.0,1.0,30.715
vidyaranyapura,1200.0,2.0,2.0,2.0,55.0
8th phase jp nagar,1098.0,2.0,1.0,2.0,43.91
